box_id,box_type,box_name_ja,jfct_code,jfct_group_no,jfct_group_ja,residual_q,n_records,n_source_A,n_source_B,n_source_C,n_layer_A,n_layer_B,n_layer_C,energy_kcal_n,energy_kcal_mean,energy_kcal_sd,protein_g_n,protein_g_mean,protein_g_sd,fat_g_n,fat_g_mean,fat_g_sd,carbohydrate_g_n,carbohydrate_g_mean,carbohydrate_g_sd,salt_equiv_g_n,salt_equiv_g_mean,salt_equiv_g_sd
02023,P,＜いも類＞ （やまのいも類） ながいも ながいも 塊根 生,02023,2,いも及びでん粉類,0,4,2,1,1,4,0,0,4,69.23,3.41,4,2.07,0.57,4,0.08,0.15,4,15.44,0.79,4,0.01,0.02
02034,P,＜でん粉・でん粉製品＞ （でん粉類） じゃがいもでん粉,02034,2,いも及びでん粉類,0,7,4,3,0,7,0,0,7,332.81,3.68,7,0.0,0.0,7,0.0,0.0,7,83.05,0.64,7,0.03,0.05
02035,P,＜でん粉・でん粉製品＞ （でん粉類） とうもろこしでん粉,02035,2,いも及びでん粉類,0,1,0,1,0,1,0,0,1,354.0,,1,0.3,,1,0.7,,1,86.5,,1,0.02,
02037,P,＜でん粉・でん粉製品＞ （でん粉製品） くずきり ゆで,02037,2,いも及びでん粉類,0,4,1,1,2,4,0,0,4,285.25,131.05,4,0.1,0.12,4,0.1,0.12,4,70.65,32.33,4,0.02,0.02
02038,P,＜でん粉・でん粉製品＞ （でん粉製品） タピオカパール 乾,02038,2,いも及びでん粉類,0,1,0,0,1,1,0,0,1,103.0,,1,0.2,,1,0.0,,1,25.5,,1,0.02,
02039,P,＜でん粉・でん粉製品＞ （でん粉製品） はるさめ 緑豆はるさめ 乾,02039,2,いも及びでん粉類,0,10,3,5,2,10,0,0,10,348.55,7.55,10,0.25,0.04,10,0.11,0.17,10,87.67,1.73,10,0.07,0.05
02040,P,＜でん粉・でん粉製品＞ （でん粉製品） はるさめ 普通はるさめ 乾,02040,2,いも及びでん粉類,0,8,1,2,5,8,0,0,8,349.81,15.96,8,0.15,0.17,8,0.14,0.17,8,87.09,3.71,8,0.06,0.05
02045,P,＜いも類＞ （さつまいも類） さつまいも 塊根 皮つき 生,02045,2,いも及びでん粉類,0,4,0,2,2,4,0,0,3,124.67,26.56,3,0.93,0.06,3,0.2,0.0,3,30.13,6.18,3,0.05,0.02
02046,P,＜いも類＞ （さつまいも類） さつまいも 塊根 皮つき 蒸し,02046,2,いも及びでん粉類,0,1,0,0,1,0,1,0,1,140.0,,1,0.9,,1,0.2,,1,33.7,,1,0.1,
02047,P,＜いも類＞ （さつまいも類） さつまいも 塊根 皮つき 天ぷら,02047,2,いも及びでん粉類,0,4,2,0,2,4,0,0,4,185.0,52.48,4,1.33,0.92,4,4.52,5.22,4,34.75,2.59,4,0.08,0.05
02056,P,＜でん粉・でん粉製品＞ （でん粉製品） ごま豆腐,02056,2,いも及びでん粉類,0,4,0,3,1,4,0,0,4,82.08,6.74,4,2.39,0.59,4,5.22,0.87,4,6.98,1.38,4,0.09,0.11
